IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost,QualityCode,ID
0,2010-05-17,ADESA,2006,4,CHRYSLER,PT CRUISER,Tou,4D SEDAN,RED,AUTO,2,Covers,50773,AMERICAN,MEDIUM,CHRYSLER,5174,6094,8425,9407,4830,5977,8397,9451,NULL,NULL,20928,0,FL,5000,0,1086,CA,300
0,2010-10-25,ADESA,2006,4,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,1,Alloy,98315,AMERICAN,LARGE,GM,5778,7056,9366,10599,6373,7876,9367,10952,NO,GREEN,5546,0,FL,5900,0,2351,OV,500
1,2009-10-07,ADESA,2003,6,CHEVROLET,MONTE CARLO 3.4L V6,LS,2D COUPE LS,SILVER,AUTO,NULL,NULL,80589,AMERICAN,LARGE,GM,3199,4143,3955,4974,3199,4143,3955,4974,NULL,NULL,19619,1,VA,5130,0,2452,LJ,600
0,2010-10-27,ADESA,2007,3,CHEVROLET,MALIBU 4C,LS,4D SEDAN LS,SILVER,AUTO,2,Covers,64915,AMERICAN,MEDIUM,GM,6919,8041,10373,11424,6971,8476,10308,12078,NO,GREEN,20740,0,PA,7040,0,923,EO,1300
0,2010-06-18,ADESA,2006,4,CHRYSLER,PT CRUISER,Bas,4D SEDAN,WHITE,AUTO,2,Covers,95841,AMERICAN,MEDIUM,CHRYSLER,4914,5899,7844,9102,4641,5694,8268,9203,NULL,NULL,5546,0,FL,5155,0,1630,CX,1700
0,2010-08-24,ADESA,2005,5,PONTIAC,G6 V6,Bas,4D SEDAN,GREY,AUTO,1,Alloy,72300,AMERICAN,MEDIUM,GM,5288,6700,9047,10599,5743,6830,9259,10856,NULL,NULL,52117,0,OH,6955,0,1272,CA,2600
0,2009-12-09,OTHER,2006,3,HYUNDAI,ELANTRA,GLS,4D SEDAN,SILVER,MANUAL,1,Alloy,77892,OTHER ASIAN,MEDIUM,OTHER,5105,6018,8423,9307,4683,5496,8079,9113,NULL,NULL,18880,0,AL,3800,0,569,TE,2900
0,2009-04-21,MANHEIM,2005,4,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,RED,AUTO,1,Alloy,60369,AMERICAN,MEDIUM SUV,GM,9131,10801,10361,12165,9131,10801,10361,12165,NULL,NULL,835,0,AZ,8690,0,1703,SD,4500
1,2010-11-23,MANHEIM,2004,6,CHRYSLER,PT CRUISER,Tou,4D SEDAN TOURING TURBO,BLUE,AUTO,1,Alloy,77635,AMERICAN,MEDIUM,CHRYSLER,3737,4820,6903,8151,3654,4336,6653,7461,NULL,NULL,835,1,AZ,5455,0,1506,ES,5200
0,2009-07-02,MANHEIM,2008,1,CHRYSLER,SEBRING 4C 2.4L I4 E,LX,4D SEDAN,RED,AUTO,2,Covers,50541,AMERICAN,MEDIUM,CHRYSLER,7960,8466,9097,9643,7960,8466,9097,9643,NULL,NULL,99761,0,GA,8345,0,920,YP,5300
0,2010-05-25,MANHEIM,2007,3,FORD,F150 PICKUP 2WD V8,STX,EXT CAB 4.6L FX2 SPORT,GOLD,AUTO,2,Covers,60657,AMERICAN,LARGE TRUCK,FORD,15530,18383,19586,22272,14569,18047,19774,23027,NULL,NULL,835,0,AZ,9825,0,728,MH,5400
0,2010-09-21,MANHEIM,2006,4,CHEVROLET,AVEO,LS,4D SEDAN LS,BLUE,AUTO,2,Covers,58573,AMERICAN,COMPACT,GM,3343,4350,6549,8310,3243,4120,6223,7662,NULL,NULL,835,0,AZ,5500,0,671,BF,5800
0,2009-01-29,MANHEIM,2001,8,MITSUBISHI,GALANT V6 3.0L V6 EF,ES,4D SEDAN ES,SILVER,AUTO,1,Alloy,92204,OTHER ASIAN,MEDIUM,OTHER,2188,3300,2863,4064,2365,3328,3054,4094,NULL,NULL,18111,0,GA,3625,0,1209,GE,6000
0,2010-01-28,MANHEIM,2005,5,CHRYSLER,PT CRUISER,Tou,2D CONVERTIBLE,RED,AUTO,1,Alloy,50367,AMERICAN,MEDIUM,CHRYSLER,5083,6250,8695,9923,5010,6448,8416,10382,NULL,NULL,18881,0,GA,6695,0,1169,YP,6100
0,2009-05-18,MANHEIM,2004,5,CHEVROLET,VENTURE FWD V6 3.4L,LS,PASSENGER 3.4L,BLUE,AUTO,2,Covers,75011,AMERICAN,VAN,GM,3924,5038,4738,5941,3924,5038,4738,5941,NULL,NULL,20740,0,NC,4300,0,4622,BF,6200
0,2010-11-24,MANHEIM,2004,6,CHEVROLET,MALIBU V6,LT,4D SEDAN LT,SILVER,AUTO,1,Alloy,63393,AMERICAN,MEDIUM,GM,4661,6045,7881,9158,4381,5460,7364,8619,NULL,NULL,23657,0,CA,6720,0,1118,CA,7600
0,2010-12-08,MANHEIM,2001,9,FORD,F150 PICKUP 2WD V6,XL,REG CAB 4.2L XL,WHITE,AUTO,2,Covers,61491,AMERICAN,LARGE TRUCK,FORD,3371,4135,6627,7269,2172,3126,5965,6618,NULL,NULL,21047,0,CA,4450,0,833,VJ,7700
1,2010-08-02,MANHEIM,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,2,Covers,83470,AMERICAN,MEDIUM,CHRYSLER,5401,6525,8731,9681,5807,6981,9024,10418,NULL,NULL,18880,1,NC,5035,0,1503,YY,8200
